RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs_true,label_kmeans,label_hierarchical,label_dbscan,label_gmm
0.029689737,57,0,0.283244418,10121.0,7,0,1,0,0.0,0,0,0,0,0
0.0,57,0,0.14256225,7750.0,9,0,1,0,0.0,0,0,0,0,0
0.036569165,48,0,0.236293951,6000.0,6,0,2,0,3.0,0,0,0,1,0
1.018330787,41,0,0.163137729,4958.0,4,0,0,0,0.0,0,0,0,0,0
1.008799413,49,0,3942.0,5400.0,10,0,1,0,0.0,0,0,0,-1,0
0.798650169,34,0,0.295274271,8950.0,8,0,2,0,0.0,0,0,0,-1,0
0.140158374,67,0,291.0,5400.0,6,0,0,0,0.0,0,0,0,0,0
0.04593505,78,0,0.007199177,5833.0,11,0,0,0,1.0,0,0,0,2,0
0.301055343,54,0,0.255097258,8533.0,12,0,1,0,0.0,0,0,0,0,0
0.133724418,44,0,0.259474278,6200.0,9,0,2,0,2.0,0,0,0,3,0
0.9999999,55,0,0.132851696,4982.0,1,1,0,0,0.0,1,0,1,-1,1
0.0,33,0,0.009175931,5666.0,9,0,0,0,0.0,0,0,0,0,0
0.005545202,31,0,6.0,5400.0,2,0,0,0,0.0,0,0,0,0,0
0.0,44,0,0.608531437,4500.0,13,0,2,0,2.0,0,0,0,3,0
0.881514811,62,0,0.489179104,2679.0,4,0,1,0,0.0,0,0,0,0,0
0.345982257,58,0,0.514371407,4000.0,6,0,1,0,0.0,0,0,0,0,0
0.074144247,74,0,0.009249377,5621.0,6,0,0,0,1.0,0,0,0,2,0
0.925082997,58,1,2200.0,5400.0,3,0,1,0,0.0,0,0,0,-1,0
0.508254824,47,0,0.58369593,7813.0,9,0,1,0,1.0,0,0,0,2,0
0.005455228,81,0,0.479004666,4500.0,17,0,2,0,0.0,0,0,0,0,0
0.419627554,63,1,0.438756124,10000.0,13,1,2,0,0.0,1,0,1,-1,1
0.004136176,41,0,0.472323285,7695.0,9,0,2,0,0.0,0,0,0,0,0
0.795932437,25,1,0.037756802,1800.0,3,0,0,0,0.0,0,0,0,-1,0
0.066611829,34,0,0.206383489,8333.0,5,0,1,0,0.0,0,0,0,0,0
0.0,51,0,576.0,5400.0,5,0,1,0,0.0,0,0,0,0,0
0.06323366,46,0,0.191144965,4200.0,6,0,1,0,1.0,0,0,0,2,0
0.291630852,45,1,0.554770789,7503.0,17,0,4,0,0.0,0,0,0,-1,0
0.147334739,54,0,0.031626085,3572.0,8,0,0,0,1.0,1,0,0,2,0
0.451736404,62,0,0.180824373,16739.0,8,0,2,0,0.0,0,0,0,-1,0
0.023732354,44,0,0.544645535,10000.0,11,0,1,0,2.0,0,0,0,3,0
0.822400231,63,0,0.515793683,2500.0,12,0,0,0,0.0,0,0,0,0,0
0.023455168,64,0,0.253984607,16500.0,24,0,2,0,1.0,0,0,0,-1,0
0.032074198,57,0,0.548886738,3098.0,8,0,1,0,0.0,0,0,0,0,0
0.737815546,37,2,168.0,1.0,3,1,0,0,0.0,0,1,0,-1,1
0.018146837,58,0,2122.0,5400.0,6,0,2,0,0.0,0,0,0,0,0
0.604395604,36,0,0.710350955,2250.0,18,0,0,0,0.0,0,0,0,-1,0
0.9999999,53,0,0.0,1333.0,0,0,0,0,0.0,0,0,0,0,0
0.158859813,53,0,0.435405953,6416.0,12,0,1,0,1.0,0,0,0,2,0
0.004755344,62,0,0.402355776,7470.0,10,0,3,0,2.0,0,0,0,3,0
0.0,30,0,0.0,2000.0,3,0,0,0,0.0,0,0,0,0,0
0.9999999,71,0,0.0,8000.0,0,0,0,0,0.0,0,0,0,0,0
0.798624547,69,0,0.445263684,8001.0,8,0,2,1,0.0,0,0,1,-1,1
0.762408771,39,0,0.529433543,2700.0,6,0,0,0,4.0,1,0,0,-1,0
0.606948126,63,0,1234.0,5400.0,9,0,2,1,1.0,0,0,1,-1,1
0.0641729,87,0,659.0,5400.0,10,0,0,0,0.0,0,0,0,0,0
0.047997333,57,0,0.260353469,7581.0,4,0,1,0,1.0,0,0,0,2,0
0.787511231,48,2,1.554174067,1688.0,6,1,1,1,3.0,1,1,1,-1,1
0.102774497,51,0,0.162936832,9070.0,9,0,1,0,1.0,0,0,0,2,0
0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0,0,0,0,2,0
0.05234587,65,1,1.280929768,4000.0,11,0,4,0,0.0,0,0,0,-1,0
0.478023726,43,0,0.162941961,5995.0,3,1,1,0,2.0,0,0,1,-1,1
0.0,63,0,968.0,5400.0,4,0,1,0,2.0,0,0,0,-1,0
0.063982976,72,0,0.036049682,3300.0,4,0,0,0,1.0,0,0,0,2,0
0.038680128,52,0,1235.0,5400.0,6,0,1,0,0.0,0,0,0,0,0
0.098284692,30,0,0.450387051,1420.0,7,0,0,0,0.0,0,0,0,0,0
0.049259124,63,0,1003.0,5400.0,6,0,1,0,0.0,0,0,0,0,0
0.188430487,47,0,0.429893438,7131.0,5,0,1,0,2.0,0,0,0,3,0
0.128782829,30,0,28.0,5400.0,3,0,0,0,0.0,0,0,0,0,0
0.0,55,0,0.0,6900.0,2,0,0,0,0.0,0,0,0,0,0
0.186792528,63,0,4979.040000000037,5400.0,16,0,3,0,0.0,0,0,0,-1,0
0.012963401,38,0,30.0,5400.0,7,0,0,0,1.0,0,0,0,2,0
0.0,57,2,1981.0,5400.0,4,0,2,0,3.0,0,0,0,-1,0
0.0,55,0,0.585793137,4166.0,7,0,1,0,0.0,0,0,0,0,0
0.779088729,52,0,0.258882342,5600.0,9,0,1,0,0.0,0,0,0,0,0
0.164413983,65,0,1187.0,5400.0,17,0,0,0,0.0,0,0,0,0,0
0.969549289,57,0,0.598955392,7083.0,24,0,2,0,1.0,0,0,0,-1,0
0.142738779,47,0,0.367907261,4916.0,8,0,1,0,2.0,0,0,0,3,0
0.0,53,0,0.188540573,20000.0,16,0,2,0,4.0,0,0,0,-1,0
0.0,71,0,0.423326134,3703.0,13,0,1,0,0.0,0,0,0,0,0
0.0,33,0,0.479658606,3514.0,11,0,1,0,0.0,0,0,0,0,0
0.078049835,45,0,0.569960023,1750.0,10,0,2,0,0.0,0,0,0,0,0
0.9999999,68,0,84.0,5400.0,5,0,0,0,0.0,0,0,0,0,0
0.224367989,47,0,0.280226164,12910.0,5,0,1,0,4.0,0,0,0,-1,0
0.823038874,47,0,3715.0,5400.0,11,0,1,0,1.0,0,0,0,-1,0
0.727946115,57,0,0.272429309,18000.0,8,0,2,0,4.0,0,0,0,-1,0
0.076211301,49,0,0.205577612,10326.0,7,0,1,0,1.0,0,0,0,2,0
0.9999999,34,0,3210.0,0.0,2,0,1,0,2.0,0,0,0,-1,0
